word,phonetic,pos,meaning,example,example_zh
accidentally,,adj.,"意外的,偶然(发生)的",,
acclaim,,,"n&v. 喝采, 欢呼",,
accommodate,,v.,"容纳,提供(住处),适应",,
accompaniment,,n.,"陪伴物, 伴奏",,
accompany,,v.,"陪伴,伴奏",,
accomplish,,v.,"完成,实现",,
accomplishment,,n.,"成就, 完成",,
accord,,,"n&v. 一致, 协定",,
accordingly,,adv.,"因此, 相应地, 于是",,
accordion,,n.,手风琴,,
account,,n.,"记述,帐(户),解释 v. 说明,占",,
accountant,,n.,"会计(员), 会计师",,
accounting,,n.,会计学； 会计,,
accredit,,vt.,委任， 授权； 把…归于； 正式认可,,
accrete,,v.,"共生, 附着, 增加",,
accumulate,,v.,"积聚,堆积",,
accumulation,,n.,"积聚,堆积物",,
accumulator,,n.,"蓄电池,积聚者",,
accuracy,,n.,"精确性, 正确度",,
accurate,,adj.,"准确的,精确的",,
accusation,,n.,"谴责, [律]指控",,
accuse,,v.,"控告, 谴责",,
accustom,,v.,使习惯于,,
acetate,,n.,[化]醋酸盐,,
achievable,,adj.,"做得成的, 可完成的",,
achieve,,v.,"完成,达到",,
achievement,,n.,"成就,功绩",,
achingly,,adv.,"极其,非常痛地",,
achondrite,,n.,不含球粒陨石,,
acid,,n.,酸 adj. 酸的,,
acidic,,adj.,"酸的,酸性的",,
acidity,,n.,"酸度, 酸性, [医]酸过多, 胃酸过多",,
acknowledge,,v.,"承认, 答谢",,
acorn,,n.,"橡树果,橡子",,
acoustic,,adj.,"有关声音的, 声学的",,
acoustical,,adj.,"听觉的, 声学的",,
acquaint,,v.,"使熟知, 通知",,
acquaintance,,n.,"相识, 熟人",,
acquiesce,,vi.,默许， 默认,,
acquire,,v.,"获得,学到",,
acquisition,,n.,获得(物),,
acquit,,vt.,宣告无罪； 表现,,
acre,,n.,"英亩, 地产",,
acreage,,n.,"英亩数, 面积",,
acronym,,n.,只取首字母的缩写词,,
across,,prep.,"穿过,在对面",,
act,,v.,"行动,表演 n. 行为",,
acting,,adj.,代理的 n. 演戏， 表演,,
action,,n.,"行动,行为,作用",,
activate,,v.,"激活, 使活动",,
active,,adj.,"积极的,活跃的,起作用的",,
actively,,adv.,"活跃地, 积极地",,
activist,,n.,"激进主义分子, 行动主义分子",,
actor,,n.,"男演员,行动者",,
actress,,n.,女演员,,
actual,,adj.,"实际的,真实的",,
acumen,,n.,敏锐， 聪明,,
acute,,adj.,"敏锐的, 急性的",,
adamant,,adj.,坚定不移的， 坚决的； 固执的,,
adapt,,v.,"适应,改编",,
adaptability,,n.,适应性,,
adaptable,,adj.,"能适应的,适应性强的",,
adaptation,,n.,"适应, 改编, 改写本",,
adaptive,,adj.,"适合的, 适应的",,
addictive,,adj.,使人上瘾的； 使人沉醉的， 醉心的,,
addition,,n.,"加,增加,附加物",,
additional,,adj.,"另外的,附加的",,
additionally,,adv.,"另外, 同时",,
additive,,adj.,附加的 n. 添加剂,,
address,,n.,"地址,演说 vt写地址,演说",,
adept,,adj.,"熟练的, 老练的 n老手, 擅长者",,
adequacy,,n.,"适当, 足够",,
adequate,,adj.,"足够的,适当的",,
adequately,,adv.,充分地,,
adhere,,v.,"粘附,遵守",,
adhesive,,adj.,带黏性的 n. 胶合剂,,
adjacent,,adj.,"邻近的,毗连的",,
adjoin,,v.,"邻接, 毗连",,
adjunct,,n.,"附件, 助手 adj. 附属的",,
adjust,,v.,"调整,校准",,
adjustment,,n.,"调整, 调节",,
administer,,v.,"管理, 给予, 执行",,
administration,,n.,"管理,经营",,
administrative,,adj.,管理的，行政的,,
administrator,,n.,"管理人,行政官",,
admirable,,adj.,"令人钦佩的,令人赞赏的",,
admiral,,n.,"海军上将, 舰队司令",,
admiration,,n.,"钦佩, 赞美, 羡慕",,
admire,,v.,"赞美,钦佩,羡慕",,
admission,,n.,"允许进入, 承认, 许可",,
admit,,v.,"承认,准许",,
admittedly,,adv.,"不可否认的, 公认地",,
adobe,,n.,泥砖，土坯,,
adolescence,,n.,青春期,,
adolescent,,adj.,青春期的 n. 青少年,,
adopt,,v.,"采用,收养",,
adoption,,n.,"采用, 收养",,
adorn,,v.,装饰,,
adornment,,n.,"装饰, 装饰品",,
adrenaline,,n.,肾上腺素(使激动兴奋等),,
adrift,,,"a&ad. 漂流的,漫无目的",,
adroit,,adj.,精明的， 干练的； 熟练的， 灵巧的,,
adult,,n.,成年人,,
adulthood,,n.,成人期,,
advance,,v.,前进，向前移动；发展，进步；促进；预付 adj. 预先的； 先头的 n. 前进；进展；预付,,
advanced,,adj.,先进的； 高级的， 高等的； 晚期的， 后期的,,
advancement,,n.,"前进, 进步",,
advantage,,n.,"优势,有利条件 v. 有利于",,
advantageous,,adj.,有利的,,
advantageously,,adv.,"有利地,方便地",,
advent,,n.,出现，到来,,
adventitious,,adj.,偶然的， 偶发的,,
adventure,,n.,"冒险 v. 冒险,大胆说出来",,
adventurer,,n.,冒险家,,
adventurous,,adj.,冒险的；惊险的,,
adversary,,n.,对手， 敌手,,
adverse,,adj.,不利的，有害的,,
adversely,,adv.,"不利地,逆向地",,
adversity,,n.,"灾祸, 逆境",,
advertise,,v.,"登广告,宣传",,
advertisement,,n.,广告,,
advertiser,,n.,"登广告者,广告客户",,
advice,,n.,"忠告, 建议",,
advisable,,adj.,可取的， 适当的； 明智的,,
advise,,v.,"劝告, 忠告, 警告, 建议",,
adviser,,n.,"顾问,",,
advisory,,adj.,顾问的，咨询的；劝告的 n. 警报,,
advocate,,v.,"提倡,鼓吹",,
aerial,,adj.,空中的，地表以上的；从飞行器上的 n. 天线,,
aero,,adj.,"航空的, 飞行的",,
aerobics,,n.,有氧运动,,
aerodynamic,,adj.,空气动力学的,,
aesthetic,,adj.,"美学的,审美的",,
aesthetically,,adv.,有审美能力地,,
afar,,adv.,遥远地,,
affable,,adj.,和蔼可亲的， 易于交谈的， 友善的,,
affair,,n.,"事务,事件",,
affect,,v.,"影响,作用",,
affection,,n.,"影响, 感情",,
affectional,,adj.,"情感上的, 爱情的",,
affiliate,,v.,使隶属于 n. 附属机构,,
affinity,,n.,"密切关系,类同",,
affirm,,v.,"断言, 确认",,
affix,,v.,"使附于, 粘贴 n[语]词缀",,
afflict,,v.,"使痛苦, 折磨",,
affluent,,adj.,"丰富的, 富裕的",,
afford,,v.,"提供,给予",,
affordable,,adj.,负担得起的,,
affront,,v.,侮辱，冒犯,,
afghanistan,,n.,阿富汗(西南亚国家),,
afield,,adv.,"远离着(家乡), 去远处",,
afloat,,,"a&ad. 飘浮的, 传播的",,
afoul,,adv.,相抵触， 有冲突,,
afraid,,adj.,害怕的,,
africa,,n.,非洲,,
african,,n.,非洲人 adj. 非洲的,,
afterlife,,n.,"来世, 后来的岁月",,
aftermath,,n.,后果， 余波,,
afternoon,,n.,午后,,
afterward,,adv.,"然后, 后来",,
afterwards,,adv.,"然后, 后来地",,
again,,adv.,"再,又",,
against,,prep.,"反对,逆,防御",,
ageism,,n.,年龄歧视,,
agency,,n.,"代理处, 中介",,
agenda,,n.,议程， 议程表,,
agent,,n.,代理(商),,
aggravate,,v.,"使恶化, 加重",,
aggregate,,n.,"合计 v. 聚集, 集合",,
aggregation,,n.,"集合,集合体",,
aggression,,n.,"进攻,侵略",,
aggressive,,adj.,"侵略的,进攻性的",,
aggressiveness,,n.,"进取精神, 侵犯",,
agile,,adj.,敏捷的， 灵活的,,
agility,,n.,"敏捷, 活泼",,
agitate,,v.,"搅动,煽动",,
agitation,,n.,鼓动，焦虑,,
agonize,,v.,"使极度痛苦, 折磨",,
agrarian,,adj.,"有关土地的, 耕地的",,
agree,,v.,"同意,赞成",,
agreeable,,adj.,使人愉快的； 欣然同意的,,
agreement,,n.,"同意, 一致",,
agricultural,,adj.,农业的,,
agriculturalist,,n.,农学家,,
agriculturally,,adv.,农业上,,
agriculture,,n.,"农业,农学",,
ahead,,,"a&ad. 在前, 向前",,
aid,,n.,"帮助,资助",,
aide,,n.,"助手, 副官",,
aie,,n.,急性包涵(体)脑炎,,
ail,,v.,生病，使苦恼,,
ailment,,n.,小病,,
aim,,n.,"目标v对瞄准,打算",,
airborne,,adj.,"空运的, 空气传播的",,
aircraft,,n.,航行器,,
airflow,,n.,气流,,
airplane,,n.,飞机,,
airport,,n.,"机场,航空站",,
airstream,,n.,气流,,
airway,,n.,"空中航线, 通风孔",,
airy,,adj.,"通风的, 轻快的",,
akin,,adj.,同类的,,
ala,,n.,"(昆虫的)翼, 翅",,
alarm,,n.,"警报 vt恐吓, 警告",,
alaska,,n.,阿拉斯加州(美国州名),,
alaskan,,n.,阿拉斯加人 a阿拉斯加的,,
albedo,,n.,[天文](星体)反照率,,
alchemist,,n.,炼金术士,,
alcohol,,n.,"酒精,酒",,
alder,,n.,[植]桤木,,
aldosterone,,n.,"[生化]醛甾酮,醛固酮",,
alert,,adj.,警觉的n戒备,,
alertness,,n.,"警戒, 机敏",,
alga,,n.,"藻类,海藻",,
algae,,n.,水藻,,
algebra,,n.,代数,,
alien,,adj.,外国(人)的 n. 外国(星)人,,
alienable,,adj.,可转让的,,
alienate,,v.,疏远,,
align,,v.,排列，使结盟,,
alike,,adj.,"相同的, 相似的",,
alive,,adj.,"活着的, 活泼的",,
alkali,,n.,碱 adj. 碱性的,,
alkaline,,adj.,碱性的，碱的,,
alkaloid,,n.,[化]生物碱,,
allay,,v.,"减轻, 减少",,
allege,,vt.,断言， 宣称,,
allegiance,,n.,忠诚， 效忠， 拥戴,,
allegory,,n.,寓言,,
allende,,n.,"阿连德(在墨西哥, 西经 100o01' 北纬 25o20')",,
allergic,,adj.,过敏的， 变态反应的； 对…讨厌的,,
allergy,,n.,过敏性反应,,
alleviate,,vt.,减轻， 缓解， 缓和,,
alligator,,n.,产于美洲的鳄鱼,,
allocate,,v.,"分派, 分配",,
allocation,,n.,"分配,安置",,
allot,,vt.,分配， 配给， 拨给,,
allow,,v.,"允许(…进入),同意给,承认",,
alloy,,n.,合金,,
allude,,v.,暗指，提及,,
allure,,,n&v. 诱惑， 吸引,,
allusion,,n.,"提及, 暗示",,
alluvial,,adj.,"冲积的, 淤积的",,
ally,,v.,结盟 n. 同盟国； 结盟者， 支持者,,
almanac,,n.,"历书, 年鉴",,
almost,,adv.,"几乎,差不多",,
aloft,,adv.,"在高处, 在上",,
alone,,adj.,单独的,,
along,,adv.,向前；一起 prep. 沿着,,
alongside,,,prep&ad. 在旁边,,
aloof,,adj.,冷漠的,,
aloud,,adv.,大声地,,
alp,,n.,高山,,
alpha,,n.,希腊字母的第一个字母,,
alphabet,,n.,字母表,,
alphabetically,,adv.,按字母表顺序地,,
alpine,,adj.,"高山的, 阿尔卑斯山的",,
already,,adv.,已经,,
alter,,v.,改变,,
alteration,,n.,"变更, 改造",,
alternate,,v.,"交替, 轮流",,
alternately,,adv.,"交替地,轮流地",,
alternative,,adj.,"选择性的,二中择一的",,
alternatively,,adv.,"做为选择,二者择一地",,
altitude,,n.,高度(海拔),,
altogether,,adj.,"完全地, 总而言之",,
altruistic,,adj.,利他的， 无私心的， 为他人着想的,,
alumina,,n.,[化]氧化铝(亦称矾土),,
aluminum,,n.,铝,,
alumnus,,n.,"男毕业生, 男校友",,
always,,adv.,"总是,一直,始终,",,
amalgamation,,n.,融合， 合并； 联合， 结合,,
amass,,v.,积累，积聚,,
amateur,,n.,业余爱好者,,
amaze,,v.,使吃惊,,
amazement,,n.,"惊愕, 惊异",,
amazingly,,adv.,"惊奇地, 惊人地",,
ambidextrous,,adj.,十分灵巧的,,
ambience,,n.,"周围环境, 气氛",,
ambient,,adj.,周围的 n周围环境,,
ambiguity,,n.,模棱两可的话； 歧义,,
ambiguous,,adj.,不明确的， 模棱两可的,,
ambition,,n.,"野心, 雄心",,
ambitious,,adj.,有雄心的,,
ambivalent,,adj.,对立的， 感情矛盾的,,
amble,,vi.,缓行， 漫步,,
ambush,,,n&vt. 埋伏， 伏击,,
ameliorate,,v.,"改善, 改进",,
amenable,,adj.,顺从的；对…负有责任(义务)的,,
amend,,vt.,修正， 修订,,
amendment,,n.,"改善, 改正",,
amenity,,n.,"宜人, 礼仪",,
americana,,n.,"有关美国的文物, 史料",,
americanism,,adj.,"美国所创, 美国风俗, 美国精神",,
amiable,,adj.,可爱的； 友好的， 和蔼的， 亲切的,,
amid,,prep.,在中,,
amino,,adj.,氨基的 n. [化学] 氨基,,
ammonia,,n.,"[化]氨, 氨水",,
amnesia,,n.,健忘症,,
amniotic,,adj.,[昆] 羊膜的,,
amount,,vi.,总计 n. 总额,,
amphibious,,adj.,两栖的； 水陆两用的,,
ample,,adj.,"充足的, 丰富的",,
amplification,,n.,扩大,,
amplifier,,n.,"扩音器, 放大器",,
amplify,,v.,"放大,详述",,
amsterdam,,n.,阿姆斯特丹(荷兰首都),,
amuse,,v.,"使发笑,使愉快",,
amusement,,n.,"娱乐, 消遣",,
anaerobic,,adj.,"厌氧的,厌气的",,
analogous,,adj.,类似的,,
analogy,,n.,"类似, 类推",,
analysis,,n.,"分析,解析",,
analyst,,n.,"分析家, 分解者",,
analyze,,v.,"分析,分解",,
anarchist,,n.,无政府主义者,,
anathema,,n.,诅咒,,
anatomy,,n.,"剖析, 解剖学",,
ancestor,,n.,"祖先,祖宗",,
ancestral,,adj.,祖先的,,
ancestry,,n.,"祖先(集合称), 血统",,
anchor,,n.,锚 v抛锚,,
ancient,,adj.,古代的； 古老的,,
andromeda,,n.,"埃塞俄比亚的公主, 仙女座",,
anecdotal,,adj.,"轶事的,趣闻的",,
anecdote,,n.,秘闻； 轶事， 趣闻,,
anemone,,n.,"[植]银莲花, [动]海葵",,
anew,,adv.,"重新, 再",,
anger,,n.,怒 v. 恼火,,
angiosperm,,n.,被子植物,,
angiotensin,,n.,[医]血管紧缩素,,
angle,,n.,"[数]角,角落",,
anglo,,n.,"盎格鲁, 英裔美国人",,
angry,,adj.,发怒的，生气的,,
angstrom,,n.,[物理]埃(长度单位),,
anguish,,v.,极度痛苦 n. 极度痛苦,,
angular,,adj.,"[生物] 有角的,生硬的,笨拙的",,
animate,,v.,鼓舞 adj. 生气勃勃的,,
animation,,n.,"兴奋,活跃",,
ankle,,n.,[解]踝,,
annex,,n.,"附件 v. 并吞, 附加",,
annihilate,,v.,"消灭,湮灭",,
annotation,,n.,注释， 注解,,
announce,,v.,"宣布,宣告",,
annoyed,,adj.,生气的,,
annual,,adj.,年度的,,
annually,,adv.,每年；按年计算,,
annul,,vt.,宣布无效， 取消， 废除,,
anomalous,,adj.,异常的； 不规则的,,
anomaly,,n.,"不规则, 异常的人或物",,
anomie,,n.,社会道德沦丧， 失范； 混乱,,
anonymous,,adj.,无名的；匿名的,,
ant,,n.,蚂蚁,,
antagonism,,n.,"对抗(状态), 对抗性",,
antagonistic,,adj.,"敌对的,对抗性的",,
antarctica,,n.,南极洲,,
anteater,,n.,[动]食蚁动物,,
antecede,,vt.,居先； 高于,,
antecedent,,adj.,先行的 n. 祖先,,
antelope,,n.,羚羊,,
antenna,,n.,天线,,
anthocyanin,,n.,"[植]花青素, [化]花色醣苔",,
anthropological,,adj.,"人类学的,人类学上的",,
anthropologically,,adv.,人类学上,,
anthropologist,,n.,人类学家,,
anthropology,,n.,人类学,,
anthropomorphism,,n.,"拟人论,拟人观",,
anti,,n.,反对者 a反对的,,
antibiotic,,n.,抗生素,,
anticipate,,v.,"预期(料),期望",,
antifungal,,adj.,"抗真菌的, 杀真菌的",,
antipathy,,n.,"憎恶, 反感",,
antiquate,,adj.,"旧式的,过时的",,
antique,,n.,古物，,,
antiquity,,n.,古代,,
antonym,,n.,反义词,,
anvil,,n.,[解]砧骨,,
anxiety,,n.,"忧虑, 焦急",,
anxious,,adj.,"渴望的, 忧虑的",,
anxiously,,adv.,"忧虑地, 不安地",,
anymore,,adv.,"不再, 再也不",,
anyone,,pron.,任何一个,,
anyplace,,adv.,任何地方,,
anything,,pron.,任何事,,
anytime,,adv.,"任何时候, 无论何时",,
anyway,,adv.,"无论如何, 总之",,
anywhere,,adv.,无论何处,,
apace,,adv.,"快速地, 急速地",,
apart,,adv.,"相间隔,分离 adj. 分离(隔)的",,
apartment,,n.,公寓住宅,,
ape,,n.,猿,,
aphid,,n.,[动]蚜虫,,
apiece,,adv.,"每个, 每人, 各",,
apologize,,vi.,道歉， 认错； 辩解,,
appalachian,,adj.,阿帕拉契山脉的,,
apparatus,,n.,"器械, 设备, 仪器",,
apparent,,adj.,"明显的,表面上的",,
appeal,,,"n&v. 呼吁,上诉",,
appearance,,n.,"出现,露面,外貌",,
appease,,vt.,平息； 安抚， 抚慰； 绥靖,,
append,,vt.,附加， 增补,,
appetite,,n.,"食欲,欲望",,
applaud,,v.,鼓掌， 喝彩； 称赞,,
apple,,n.,苹果,,
appliance,,n.,用具， 器具； 装置,,
applicability,,n.,"适用性, 适应性",,
applicable,,adj.,"合适的, 适用的,",,
applicant,,n.,申请者,,
application,,n.,"请求,申请,应用",,
apply,,v.,"申请,应用",,
appoint,,v.,"任命, 委派",,
appointment,,n.,"约会, 指定",,
apportion,,v.,分配,,
apportionment,,n.,分派， 分摊， 分配,,
appraisal,,n.,"估计, 评估",,
appraise,,vt.,估价； 估量； 评价， 评定,,
appreciable,,adj.,"可感知的,相当可观的",,
appreciably,,adv.,"略微, 有一点",,
appreciate,,v.,"赏识, 感激",,
appreciation,,n.,"感谢, 感激",,
apprehend,,vt.,逮捕； 领会， 理解,,
apprentice,,n.,学徒 v. 当学徒,,
apprenticeship,,n.,学徒的身份； 学徒的年限,,
apprise,,vt.,通知， 告诉,,
approach,,v.,"靠近,接近 n. 途径,方法",,
appropriate,,adj.,适当的,,
appropriately,,adv.,适当地,,
approval,,n.,"赞同,批准, 认可",,
approve,,v.,"赞成, 批准",,
approximate,,adj.,"近似的,大约的 v. 近似,接近",,
approximation,,n.,接近； 近似值,,
april,,n.,四月,,
aptitude,,n.,适合， 恰当； 天资， 才能， 资质,,
aptly,,adv.,"适当地,适宜地",,
aquarium,,n.,养鱼缸； 水族馆,,
aquatic,,adj.,"水的,水生的 n. 水生动物",,
aqueduct,,n.,"沟渠,导水管",,
aquifer,,n.,"含水土层,蓄水层",,
arab,,,n&a. 阿拉伯人(的),,
arabian,,n.,阿拉伯人 a阿拉伯(人)的,,
arable,,adj.,可耕作的，适于耕作的 n. 可耕地,,
aragonite,,n.,"[矿]霰石, 文石",,
arbitrary,,adj.,"任意的, 武断的",,
arboreal,,adj.,树木的,,
arc,,n.,"弧, 弓形",,
arcade,,n.,拱廊,,
arch,,n.,拱门v(使)弯成弓形,,
archaeocyte,,n.,原始(生殖)细胞,,
archaeological,,adj.,考古学的,,
archaeologist,,n.,考古学家,,
archaeology,,n.,考古学,,
archaeopteryx,,n.,始祖鸟(古代生物),,
archaic,,adj.,"古代的, 陈旧的",,
archipelago,,n.,"群岛, 多岛海",,
architect,,n.,建筑师,,
architecture,,n.,"建筑,建筑学",,
archive,,n.,档案室 vt. 存档,,
arctic,,adj.,北极的 n北极(圈),,
ardent,,adj.,热心的， 热情洋溢的,,
arduous,,adj.,"费力的, 辛勤的",,
arena,,n.,"竞技场, 舞台",,
argon,,n.,[化]氩,,
argue,,v.,"说服,争论,辩论",,
argument,,n.,争论,,
aria,,n.,独唱曲， 咏叹调,,
arid,,adj.,"干旱的,贫瘠的",,
aridity,,n.,"干旱, 乏味",,
arise,,v.,"出现,发生,起因于",,
aristocracy,,n.,贵族（政治）,,
aristocrat,,n.,贵族,,
aristocratic,,adj.,"贵族政治的,贵族的",,
arithmetic,,n.,算术,,
arm,,n.,"臂 v. 供给,武装",,
armor,,n.,装甲 v. 为…装甲,,
armory,,n.,"兵工厂,军械库",,
army,,n.,军队,,
aroma,,n.,芳香， 香味； 气氛， 氛围,,
aromatic,,adj.,芬芳的,,
arousal,,n.,"觉醒, 激励",,
arouse,,v.,"唤醒,鼓励 v. 睡醒",,
arrange,,v.,"安排,排列",,
array,,,"n&v. 展示,排列",,
arrest,,v.,"逮捕, 拘留",,
arrival,,n.,"到来, 到达",,
arrive,,v.,"到达,抵达",,
arrogant,,adj.,傲慢的， 自大的,,
arrow,,n.,"箭, 箭头记号",,
arsenal,,n.,"兵工厂, 军械库",,
arsenic,,n.,"[化]砷, 砒霜",,
artesian,,adj.,自流水的， 喷水的,,
arthritis,,n.,关节炎,,
arthropod,,,n&a. 节肢动物(的),,
article,,n.,"文章,论文",,
articulate,,adj.,"有关节的, 发音清晰的 v用关节连接, 接合",,
artifact,,n.,人造物品,,
artifice,,n.,诡计， 奸计； 策略,,
artificial,,adj.,"人造的,虚伪的",,
artificially,,adv.,"人工地,不自然地",,
artisan,,n.,"工匠,技工",,
artiste,,n.,技艺家,,
artistic,,adj.,艺术的,,
artistically,,adv.,"艺术地, 在艺术上",,
artistry,,n.,艺术之性质,,
artwork,,n.,"艺术品,美术品",,
ascend,,v.,"攀登, 上升",,
ascent,,n.,"上升,提高",,
ascertain,,vt.,弄清， 查明,,
ascribe,,v.,"归因于, 归咎于",,
ash,,n.,"灰(烬),[植]岑树",,
ashcan,,n.,"垃圾桶, 深水炸弹",,
ashore,,adv.,"向岸地, 在岸上地",,
asia,,n.,亚洲,,
asian,,,"n&a. 亚洲(的), 亚洲人(的)",,
aside,,adv.,"在旁边,到旁边",,
ask,,v.,"询问,请求,邀请",,
asleep,,adj.,睡着的,,
aspect,,n.,"方面,外观",,
asphalt,,n.,沥青,,
aspiration,,n.,"热望, 渴望",,
aspire,,v.,"热望, 立志",,
assail,,vt.,抨击， 指责； 猛攻； 困扰,,
assassinate,,vt.,暗杀， 行刺； 诋毁,,
assault,,,"n&v. 攻击, 袭击",,
assemblage,,n.,"集合, 集会",,
assemble,,v.,"集合,聚集,装配",,
assembly,,n.,集会，集合;组装,,
assent,,,n&vi. 同意， 赞成,,
assert,,v.,"断言, 声称",,
assess,,v.,"估定,评定",,
assessment,,n.,估计；评估,,
asset,,n.,资产,,
assign,,v.,"分配,指派",,
assimilate,,v.,透彻理解， 吸收， 消化； 同化,,
assimilation,,n.,同化； 吸收,,
assist,,v.,"援助,帮助",,
assistance,,n.,"协助, 援助, 补助,",,
assistant,,n.,"助手, 助教",,
associate,,v.,"联合,结交 n. 伙伴 adj. 副的",,
association,,n.,"协会,联合,结交",,
associative,,adj.,联想的； 结合的； 关联的,,
assort,,v.,分类配全,,
assortment,,n.,"分类,混合物",,
assume,,v.,"假定,设想",,
assumption,,n.,"假定, 设想",,
assure,,v.,"使确信, 确保",,
asteroid,,n.,小行星,,
asthenosphere,,n.,岩流圈,,
asthma,,n.,哮喘,,
astonish,,v.,使惊讶,,
astound,,v.,"使惊骇, 使大吃一惊",,
astrological,,adj.,"占星的, 占星术的",,
astronaut,,n.,宇航员,,
astronomer,,n.,天文学家,,
astronomical,,adj.,"天文学的, 巨大的",,
astronomy,,n.,天文学,,
astute,,adj.,"机敏的, 狡猾的",,
asymmetrical,,adj.,"不对称的,不均匀的",,
atheist,,n.,无神论者,,
athenian,,n.,/a雅典(人)(的),,
athens,,n.,雅典(希腊首都),,
athlete,,n.,运动员,,
atlantic,,n.,大西洋 adj. 大西洋的,,
atlas,,n.,"地图, 地图集",,
atmosphere,,n.,"大气,空气,气氛",,
atmospheric,,adj.,大气的,,
atom,,n.,原子,,
atomic,,adj.,"原子的,原子能的",,
atomization,,n.,"分离成原子, 雾化",,
atrophy,,n.,萎缩,,
attach,,v.,"缚上, 配属,隶属于",,
attachment,,n.,"附件,附加装置",,
attack,,,"v&n. 攻击,进攻",,
attacker,,n.,攻击者,,
attain,,v.,"达到, 获得",,
attainment,,n.,达到,,
attempt,,,"n&vt. 尝试,企图,努力",,
attend,,v.,"出席, 参加,照料",,
attendance,,n.,"出席, 出席的人数",,
attendant,,n.,服务员 adj. 伴随的,,
attention,,n.,"注意,关心",,
attentive,,adj.,"注意的, 留意的",,
attest,,v.,证明,,
attic,,n.,阁楼,,
attire,,n.,服装 v. 打扮,,
attitude,,n.,"态度,看法",,
attorney,,n.,辩护律师； 代理人,,
attract,,v.,吸引,,
attraction,,n.,吸引(力)；具有吸引力的事物(或人),,
attractive,,adj.,吸引人的， 有魅力的； 引起注意的,,
attractively,,adv.,有吸引力地，诱人地,,
attractiveness,,n.,"魅力, 吸引力",,
attributable,,adj.,可归因于的,,
attribute,,n.,"属性,品质,特征",,
auction,,n.,／ vt拍卖,,
audible,,adj.,听得见的,,
audience,,n.,"听众,观众",,
audio,,adj.,"音频的,声音的",,
audit,,vt.,旁听； 审计,,
audition,,n.,旁听； 试演,,
auditorium,,n.,"听众席,观众席,",,
auditory,,adj.,"耳的, 听觉的",,
auger,,n.,螺丝钻 vt. 用钻子钻洞于,,
augment,,vt.,增加， 提高,,
august,,n.,八月(略作Aug),,
aural,,adj.,听觉的,,
aurora,,n.,"黎明的女神,极光",,
auspicious,,adj.,吉兆的， 吉利的； 幸运的,,
austere,,adj.,"简朴的, 严厉的",,
