word,phonetic,pos,meaning,example,example_zh
acidity,,n.,"酸度, 酸性, [医]酸过多, 胃酸过多",,
acknowledge,,v.,承认(…的权威),,
acquaint,,vt.,使认识， 使了解,,
acquaintance,,n.,熟人；认识；了解,,
acquire,ə'kwaɪə,v.,获得；学到,Children acquire language quickly.,儿童学语言很快。
acquisition,,n.,取得， 获得， 习得； 获得物， 增添的人,,
acre,,n.,英亩,,
across,,prep.,横过；在…对面,,
act,,v.,行动；见效 n. 行为,,
acting,,adj.,代理的 n. 演戏， 表演,,
action,,n.,行动；作用；功能,,
active,,adj.,活跃的；积极的,,
activist,,n.,"激进主义分子, 行动主义分子",,
activity,,n.,活动；活力；行动,,
actor,,n.,演剧的人,,
actress,,n.,女演员,,
actual,,adj.,实际的,,
actually,,adv.,实际上；竟然,,
acute,,adj.,敏锐的,,
ad,,n.,广告,,
adapt,ə'dæpt,v.,适应；改编,It takes time to adapt to a new city.,适应新城市需要时间。
adaptation,,n.,改编版；适应,,
adaptive,,adj.,"适合的, 适应的",,
add,,v.,添加，附加，掺加,,
addict,,n.,吸毒上瘾者；对…着迷的人,,
addiction,,n.,上瘾,,
addictive,,adj.,使人上瘾的； 使人沉醉的， 醉心的,,
addition,,n.,附加物；加，加法,,
additional,,adj.,额外的,,
address,,v.,解决,,
adequacy,,n.,"适当, 足够",,
adequate,,adj.,足够的,,
adjective,,n.,形容词,,
adjust,ə'dʒʌst,v.,调整；适应,He adjusted the camera before taking the photo.,拍照前他调整了相机。
adjustment,,n.,"调整, 调节",,
administer,,v.,管理；执行；给予,,
administration,,n.,管理；〔某一时期的〕政府,,
administrative,,adj.,管理的,,
admirable,,adj.,"令人钦佩的,令人赞赏的",,
admiration,,n.,钦佩，称赞,,
admire,əd'maɪə,v.,钦佩；欣赏,I admire her courage and honesty.,我钦佩她的勇气和诚实。
admission,,n.,承认；准许进(加)入；入场费,,
admit,əd'mɪt,v.,承认；准许进入,He admitted that he had made a mistake.,他承认自己犯了错误。
admittance,,n.,进入；入场权；通道,,
admittedly,,adv.,"不可否认的, 公认地",,
adopt,ə'dɒpt,v.,采用；收养,The company adopted a new policy.,公司采用了新政策。
adoption,,n.,收养；采纳，采取,,
adoptive,,adj.,收养关系的； 采用的,,
adult,,n.,成年人 adj. 成年的,,
adulthood,,n.,成人期,,
advance,əd'vɑːns,v./n.,前进；进展；预付,Medical science has advanced greatly.,医学科学取得了很大进步。
advanced,,adj.,高级的,,
advancement,,n.,进步，提升,,
advantage,əd'vɑːntɪdʒ,n.,优势；有利条件,Speaking English gives you an advantage in job interviews.,会说英语让你在求职面试中占优势。
advantageous,,adj.,有利的，有助的,,
adventure,əd'ventʃə,n.,冒险；奇遇,Their trip to the mountains was a real adventure.,他们的山区之行是一次真正的冒险。
adventurer,,n.,冒险者,,
adventurous,,adj.,冒险的；惊险的,,
adverb,,n.,副词,,
adversity,,n.,逆境，不幸,,
advertise,,vt.,为…做广告， 宣传； 公告； 登广告,,
advertisement,,n.,广告,,
advice,,n.,建议,,
advisable,,adj.,明智的；可取的,,
advise,,v.,劝告；建议；通知,,
adviser,,n.,"顾问,",,
advisory,,n.,报告，警告,,
advocacy,,n.,主张；拥护；辩护,,
advocate,,v.,倡导 n. 提倡者，拥护者，鼓吹者,,
advocator,,n.,主张者，倡导者,,
aerial,,adj.,空气的；航空的,,
aeroplane,,n.,飞机,,
affair,ə'feə,n.,事务；事情,The meeting dealt with foreign affairs.,这次会议讨论外交事务。
affect,,v.,影响；感动,,
affection,,n.,慈爱，爱；爱慕,,
affectionate,,adj.,深情的，柔情的,,
affirm,,v.,断言，声明,,
affirmation,,n.,断言，肯定,,
affluence,,n.,富裕；丰富；流入；汇聚,,
affluent,,adj.,富裕的；丰富的；流畅的 n. 支流；富人,,
afford,ə'fɔːd,v.,负担得起,We cannot afford to waste time.,我们浪费不起时间。
affordable,,adj.,负担得起的,,
afraid,,adj.,害怕的；担心的,,
africa,,n.,非洲,,
african,,adj.,非洲的 n. 非洲人,,
after,,prep.,在…以后；次于,,
afternoon,,n.,下午，午后,,
afterward,,adv.,后来，以后,,
again,,adv.,又一次；而且,,
against,,prep.,倚在；逆，对着,,
age,,n.,年龄；时代 v. 变老,,
agency,'eɪdʒənsi,n.,机构；代理处,She works for a travel agency.,她在一家旅行社工作。
agenda,,n.,议事日程,,
agent,'eɪdʒənt,n.,代理人；经纪人,The real estate agent showed us several houses.,房产经纪人带我们看了几套房子。
aggression,,n.,"进攻,侵略",,
aggressive,ə'ɡresɪv,adj.,好斗的；积极进取的,An aggressive salesperson pushed me to buy.,一位咄咄逼人的销售员催我购买。
ago,,adv.,以前,,
agony,,n.,极度痛苦,,
agree,,v.,同意；持相同意见,,
agreeable,,adj.,惬意的；同意的,,
agreement,,n.,协定，协议；同意,,
agricultural,,adj.,农业的,,
agriculture,,n.,农业，农艺；农学,,
ahead,,adv.,向前；在前；提前,,
aid,,n.,帮助；助手；救护,,
aim,,v.,瞄准；针对；致力,,
air,,n.,空气；空中,,
aircraft,'eəkrɑːft,n.,飞机；航空器,The aircraft landed safely in heavy rain.,飞机在大雨中安全着陆。
airline,,n.,航空公司,,
airplane,,n.,飞机,,
airport,,n.,机场，航空站,,
aisle,,n.,过道， 通道,,
alarm,ə'lɑːm,n./v.,警报；使惊慌,The fire alarm went off at midnight.,午夜时分火警响了起来。
album,,n.,粘贴簿，集邮簿，册,,
alcohol,,n.,酒精,,
alert,,v.,提醒；使〔某人〕意识到 adj. 机警的,,
algebra,,n.,代数学,,
alike,,adj.,相像；十分相似,,
alive,,adj.,活着的；活跃的,,
all,,,det. 全部的 pron. 全部,,
allege,,vt.,断言， 宣称， 硬说,,
alleged,,adj.,所谓的；声称的；被断言的 v. 宣称（allege的过去式和过去分词）；断言,,
allegedly,,adv.,据说,,
alley,,n.,小巷；小路；小径,,
alliance,,n.,结盟， 联盟,,
allocate,,vt.,分配， 分派， 把…拨给,,
allow,,v.,允许，准许；任,,
allowance,,n.,津贴， 补贴； 零用钱,,
alloy,,n.,合金；（金属的）成色,,
ally,,v.,结盟， 联合 n. 同盟国， 同盟者； 支持者,,
almost,,adv.,几乎，差不多,,
alone,,adj.,单独的 adv. 单独地,,
along,,prep.,沿着 adv. 向前,,
alongside,,adv.,在旁边，沿着边，并排地 prep. 在…旁边， 沿着…的边； 和…在一起,,
aloud,,adv.,出声地；大声地,,
alphabet,,n.,字母表，字母系统,,
already,,adv.,早已，已经,,
also,,adv.,而且，还；亦，也,,
alter,'ɔːltə,v.,改变；改动,The plan has been altered to save time.,为了节省时间，计划做了改动。
alteration,,n.,变更，改变,,
alternative,ɔːl'tɜːnətɪv,n./adj.,替代方案；可供选择的,Walking is a healthy alternative to driving.,步行是开车之外的健康选择。
although,,conj.,尽管，虽然,,
altitude,,n.,"海拔, 高度",,
altogether,,adv.,完全；总而言之,,
aluminium,,n.,铝,,
aluminum,,n.,铝,,
always,,adv.,总是，一直；永远,,
amateur,,adj.,业余爱好的， 业余的； 外行的 n. 业余爱好者；外行,,
amaze,ə'meɪz,v.,使惊奇；使惊叹,Her talent amazed everyone in the room.,她的才华让在场所有人都惊叹。
amazement,,n.,"惊愕, 惊异",,
ambassador,,n.,大使， 使节， 派驻国际组织的代表,,
ambition,æm'bɪʃən,n.,雄心；抱负,His ambition is to become a doctor.,他的抱负是成为一名医生。
ambitious,,adj.,有雄心的，野心勃勃的,,
ambulance,,n.,救护车,,
america,,n.,美洲；美国,,
american,,adj.,美洲的 n. 美国人,,
amid,,prep.,在…中间， 在…之中， 被…围绕,,
among,,prep.,在…之中,,
amongst,,prep.,在…之中（among）,,
amount,ə'maʊnt,n.,数量；总额,A large amount of money was spent on the project.,这个项目花了一大笔钱。
ampere,,n.,安培,,
ample,,adj.,足够的；宽敞的,,
amplify,,v.,放大，扩大；增强,,
amuse,,v.,逗…乐；给…娱乐,,
amusement,,n.,乐趣；娱乐，消遣,,
amusing,,adj.,有趣的，好玩儿的,,
analyse,,v.,分析，分解，解析,,
analysis,,n.,分析，分解，解析,,
analyst,,n.,"分析家, 分解者",,
analytic,,adj.,分析的；解析的；善于分析的,,
analyze,'ænəlaɪz,v.,分析,Scientists analyzed the data carefully.,科学家们仔细分析了数据。
ancestor,,n.,祖宗，祖先,,
ancestry,,n.,"祖先(集合称), 血统",,
anchor,,n.,锚 v. 抛锚，停泊,,
ancient,'eɪnʃənt,adj.,古代的；古老的,They visited an ancient temple.,他们参观了一座古庙。
and,,conj.,和，又，并；则，那么,,
anew,,adv.,"重新, 再",,
angel,,n.,天使；安琪儿，天使〔指仁慈、善良或美丽的人〕,,
anger,,n.,怒，愤怒 v. 使发怒,,
angle,,n.,角，角度,,
angry,,adj.,愤怒的，生气的,,
animal,,n.,动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）,,
ankle,,n.,踝，踝节部,,
anniversary,,n.,周年纪念日,,
announce,ə'naʊns,v.,宣布；通告,The teacher announced the exam results.,老师公布了考试成绩。
announcer,,n.,播音员,,
annoy,,v.,使反感，厌烦,,
annual,'ænjuəl,adj.,每年的；年度的,The annual meeting will be held in May.,年度会议将于五月举行。
annually,,adv.,每年，一年一次,,
anonymous,,adj.,匿名的； 无名的； 无特色的,,
another,,,det. 再一个的；别的,,
answer,,v.,回答；响应,,
ant,,n.,蚂蚁,,
anticipate,,v.,预感,,
antique,,n.,古玩，古董,,
anxiety,,n.,焦虑，忧虑；渴望,,
anxious,'æŋkʃəs,adj.,焦虑的；渴望的,She felt anxious before the interview.,面试前她感到焦虑。
any,,adj.,什么，一些；任何的,,
anybody,,pron.,任何人,,
anyhow,,adv.,无论如何,,
anyone,,pron.,任何人,,
anything,,pron.,任何事物；一切,,
anyway,,adv.,无论如何,,
anywhere,,adv.,在什么地方,,
apart,,adv.,相隔；分开；除去,,
apartment,,n.,公寓,,
apologise,,v.,"(to,for)道歉，认错",,
apologize,ə'pɒlədʒaɪz,v.,道歉,He apologized for being late.,他为迟到道歉。
apology,,n.,道歉，认错，谢罪,,
apparatus,,n.,器械，仪器；器官,,
apparent,,adj.,明显的；表面上的,,
appeal,,n.,呼吁 v. 吸引；呼吁；恳请，恳求,,
appealing,,adj.,吸引人的,,
appear,ə'pɪə,v.,出现；似乎,A rainbow appeared after the rain.,雨后出现了彩虹。
appearance,,n.,"外表, 外观；出现",,
appetite,,n.,"欲望, 胃口",,
applaud,,v.,鼓掌；喝彩,,
applause,,n.,鼓掌， 掌声,,
apple,,n.,苹果,,
appliance,,n.,用具，器具，器械,,
applicable,,adj.,能应用的；适当的,,
applicant,,n.,申请人,,
application,,n.,申请；应用,,
apply,ə'plaɪ,v.,申请；应用；涂,She applied for a position in the bank.,她申请了银行的一个职位。
appoint,ə'pɔɪnt,v.,任命；约定,The manager appointed her as team leader.,经理任命她为团队负责人。
appointment,,n.,约会,,
appreciate,ə'priːʃieɪt,v.,感激；欣赏；理解,I really appreciate your help.,我非常感激你的帮助。
appreciation,,n.,感激,,
appreciative,,adj.,表示赞赏的，感谢的,,
approach,ə'prəʊtʃ,v./n.,接近；方法,We need a new approach to this problem.,我们需要用新方法解决这个问题。
appropriate,,adj.,适当的，恰当的,,
approval,,n.,批准，认可；赞成，同意,,
approve,ə'pruːv,v.,赞成；批准,The committee approved the proposal.,委员会批准了这项提议。
approximate,,adj.,近似的 v. 近似,,
approximately,,adv.,大约,,
approximation,,n.,接近； 近似值,,
april,,n.,四月,,
aptitude,,n.,适合， 恰当； 天资， 才能， 资质,,
arabian,,adj.,阿拉伯的,,
arbitrary,,adj.,随心所欲的；专断的,,
architect,,n.,建筑师,,
architecture,,n.,建筑式样；建筑学,,
archive,,n.,档案馆，档案室；档案,,
area,,n.,地区；面积；领域,,
arguable,,adj.,可论证的；可议的；可疑的,,
argue,'ɑːɡjuː,v.,争论；主张,They argued about which movie to watch.,他们争论该看哪部电影。
argument,,n.,争论，辩论；理由,,
argumentation,,n.,论证；争论；辩论,,
arise,,v.,出现；由…引起,,
arithmetic,,n.,算术；四则运算,,
arm,,n.,臂；臂状物；武器,,
army,,n.,军队；陆军,,
around,,prep.,在…周围,,
arousal,,n.,"觉醒, 激励",,
arouse,,v.,引起，唤起；唤醒,,
arrange,ə'reɪndʒ,v.,安排；整理,I have arranged a meeting for tomorrow.,我已经安排了明天的会议。
arrangement,,n.,安排；整理，排列,,
arrest,,v.,逮捕,,
arrival,,n.,到达；到来；到达者,,
arrive,,v.,到达；来临；达到,,
arrow,,n.,箭；箭状物；〔指示方向的〕箭号，箭头（符号）,,
art,,n.,艺术，美术；技术,,
article,'ɑːtɪkl,n.,文章；物品；冠词,She wrote an article about climate change.,她写了一篇关于气候变化的文章。
artificial,ˌɑːtɪ'fɪʃəl,adj.,人工的；人造的,The lake is artificial.,这个湖是人工湖。
artist,,n.,艺术家，美术家,,
artistic,,adj.,艺术的；艺术家的,,
as,,conj.,当…的时候,,
ash,,n.,灰，灰末；骨灰,,
ashamed,,adj.,羞耻的；内疚的；惭愧的,,
ashore,,adv.,在岸上，上岸,,
asia,,n.,亚洲,,
asian,,adj.,亚洲的 n. 亚洲人,,
aside,,adv.,在旁边，到旁边,,
ask,,v.,问；要求；邀请,,
asleep,,adj.,睡着的，睡熟的,,
aspect,'æspekt,n.,方面；外观,Health is an important aspect of life.,健康是生活的重要方面。
ass,,n.,傻瓜，蠢笨的人；驴,,
assemble,,v.,集合；组装；集合,,
assembly,,n.,装配,,
assess,ə'ses,v.,评估；评价,Teachers assess students in many ways.,老师通过多种方式评价学生。
assessment,,n.,评估，评价,,
asset,,n.,有价值的人(或物)资产,,
assign,ə'saɪn,v.,分配；指派,The teacher assigned us a research project.,老师给我们布置了一个研究项目。
assignment,,n.,作业,,
assist,ə'sɪst,v.,帮助；协助,The assistant will assist you with the forms.,助理会协助你填写表格。
assistance,,n.,协助， 援助,,
assistant,,n.,助手，助理；助教,,
associate,ə'səʊʃieɪt,v./n.,联系；联想；同事,People often associate red with danger.,人们常把红色与危险联系在一起。
association,,n.,协会，团体；联合,,
assume,ə'sjuːm,v.,假定；承担,I assume you have finished your homework.,我假定你已经做完作业了。
assumption,,n.,假定，假设,,
assurance,,n.,保证,,
assure,,v.,使确信；向…保证,,
astonish,,v.,使惊讶，使大为吃惊,,
astonishment,,n.,惊奇，惊讶,,
astronaut,,n.,宇宙航行员，宇航员,,
astronomer,,n.,天文学家,,
astronomical,,adj.,天文数字的,,
astronomy,,n.,天文学,,
astrophysics,,n.,天体物理学,,
at,,prep.,在…里；在…时,,
athlete,'æθliːt,n.,运动员,The athlete trains every morning.,这名运动员每天早晨训练。
athletic,,adj.,强壮的；擅长运动的；运动的，运动员的,,
atlantic,,adj.,大西洋的 n. 大西洋,,
atmosphere,,n.,气氛；大气；空气,,
atmospheric,,adj.,大气的；大气层的,,
atom,,n.,原子；微粒；微量,,
atomic,,adj.,原子的；原子能的,,
attach,ə'tætʃ,v.,附上；系上；重视,Please attach the file to your email.,请把文件附在邮件里。
attachment,,n.,爱慕；附件；连接物,,
attack,,v.,攻击，进攻 n. 攻击，进攻,,
attain,,v.,获得；达到,,
attainment,,n.,达到,,
attempt,,n.,尝试，试图 v. 尝试，试图,,
attend,ə'tend,v.,出席；照料,All students must attend the lecture.,所有学生都必须参加讲座。
attendance,,n.,出席人数,,
attendant,,n.,服务人员,,
attention,,n.,注意，留心；注意力,,
attentive,,adj.,注意的；有礼貌的,,
attic,,n.,阁楼,,
attitude,'ætɪtjuːd,n.,态度；看法,A positive attitude helps you succeed.,积极的态度有助于你成功。
attorney,,n.,律师， 代理人,,
attract,ə'trækt,v.,吸引,The new museum attracts many visitors.,新博物馆吸引了许多游客。
attraction,,n.,吸引；吸引力；引力,,
attractive,,adj.,有吸引力的,,
attributable,,adj.,可归因于的,,
attribute,,v.,归因于,,
audience,'ɔːdiəns,n.,观众；听众,The audience clapped warmly.,观众热烈鼓掌。
audio,,adj.,听觉的， 声音的,,
auditorium,,n.,礼堂，会堂；观众席,,
august,,n.,八月,,
aunt,,n.,伯母，婶母，姑母,,
aural,,adj.,耳的，听觉的,,
australia,,n.,澳大利亚,,
australian,,adj.,澳大利亚的,,
authentic,,adj.,真的， 真正的； 可靠的， 可信的,,
authenticity,,n.,"确实性, 真实性",,
author,,n.,作者，作家,,
authoritative,,adj.,权威的,,
authority,ɔː'θɒrəti,n.,权威；当局；权力,The local authorities closed the old bridge.,地方当局关闭了旧桥。
authorization,,n.,授权,,
authorize,,vt.,授权， 批准,,
auto,,n.,（口语）汽车,,
automate,,v.,使自动化,,
automatic,,adj.,自动的,,
automatically,,adv.,自动地；不经思考地,,
automation,,n.,自动，自动化,,
automobile,,n.,汽车，机动车,,
autumn,,n.,秋，秋季,,
auxiliary,,adj.,辅助的,,
avail,,v.,"有益, 有帮助",,
availability,,n.,有效（性）；可得性,,
available,ə'veɪləbl,adj.,可用的；可获得的,Tickets are available at the door.,门口可以买到票。
avenue,,n.,大街；林荫道，道路,,
average,'ævərɪdʒ,n./adj.,平均；普通的,The average temperature in July is 30 degrees.,七月平均气温是 30 度。
aviate,,v.,驾驶飞机,,
aviation,,n.,航空,,
avoid,ə'vɔɪd,v.,避免；避开,Avoid making the same mistake again.,避免再犯同样的错误。
avoidance,,n.,避免,,
await,,v.,等候，期待,,
awake,,adj.,醒着的 v. 唤醒,,
award,ə'wɔːd,n./v.,奖品；授予,She won an award for her research.,她因研究获奖。
aware,ə'weə,adj.,意识到的；知道的,Are you aware of the risks?,你意识到风险了吗？
awareness,,n.,意识,,
away,,adv.,离开，远离；…去,,
awe,,v.,使敬畏；使畏怯 n. 敬畏,,
awesome,,adj.,"令人敬畏的,令人赞叹的；极好的",,
awful,,adj.,可怕的，骇人的,,
awfully,,adv.,令人畏惧的；很,,
awkward,,adj.,尴尬的；笨拙的,,
ax,,n.,斧子,,
axis,,n.,轴，轴线；中心线,,
baby,,n.,婴儿；孩子气的人,,
bachelor,,n.,未婚男子；学士,,
back,,adv.,回原处；回；在后,,
background,,n.,背景,,
backslide,,v.,倒退，退步,,
backup,,n.,后补，援助,,
backward,,adv.,向后,,
bacon,,n.,咸肉,,
bacteria,,n.,细菌,,
bad,,adj.,坏的，恶的；严重的,,
badge,,n.,"标记, 徽章",,
badly,,adv.,坏，差；严重地,,
badminton,,n.,羽毛球,,
bag,,n.,袋，包，钱包，背包,,
baggage,,n.,行李,,
bail,,n.,保释 vt. 保释 <；帮助脱离困境<,,
bait,,n.,饵；引诱物,,
bake,,v.,烤，烘，焙；烧硬,,
bakery,,n.,面包店,,
balance,'bæləns,n./v.,平衡；余额；使平衡,Try to keep a balance between study and rest.,尽量保持学习与休息的平衡。
balcony,,n.,阳台； 楼厅， 楼座,,
ball,,n.,球；球状物；舞会,,
ballet,,n.,芭蕾,,
balloon,,n.,气球，玩具气球,,
ballot,,n.,投票；投票用纸；投票总数 v. 投票；抽签决定,,
bamboo,,n.,竹；竹杆，竹棍,,
ban,,v.,禁止,,
banana,,n.,香蕉；芭蕉属植物,,
band,,n.,乐队；带；波段,,
bandage,,n.,绷带，包带,,
bang,,n.,巨响，枪声；猛击,,
bank,,n.,银行；库；沿，堤,,
banker,,n.,银行家,,
bankrupt,,adj.,破产的，倒闭的,,
bankruptcy,,n.,破产,,
banner,,n.,横幅；旗，旗帜,,
banquet,,n.,宴会，盛会，酒席,,
bar,,n.,酒吧间；条，杆；栅,,
barbecue,,n.,烧烤野餐 v. 炙烤(肉等),,
barber,,n.,理发师,,
bare,,adj.,赤裸的；仅仅的,,
barely,,adv.,仅仅，几乎不,,
bargain,,n.,便宜货，减价品,,
bark,,n.,吠叫声 v. 吠，叫,,
barn,,n.,谷仓；牲口棚,,
barrel,,n.,桶；圆筒；枪管,,
barrier,'bæriə,n.,障碍；屏障,Language is not a barrier to friendship.,语言不是友谊的障碍。
base,,n.,基础，底层；基地,,
baseball,,n.,棒球,,
basement,,n.,地下室；地窖；底层,,
basic,,adj.,基本的，基础的,,
basically,,adv.,基本上,,
basin,,n.,洗脸盆；盆；盆地,,
basis,'beɪsɪs,n.,基础；根据,We meet on a weekly basis.,我们每周见一次面。
basket,,n.,篮，篓，筐,,
basketball,,n.,篮球运动；篮球,,
bat,,n.,球拍；蝙蝠,,
batch,,n.,一批， 一组， 一群； 一批生产量,,
bath,,n.,浴，洗澡；浴缸,,
bathe,,v.,给…洗澡,,
bathroom,,n.,浴室；盥洗室,,
battalion,,n.,营，军营；军队，部队,,
battery,'bætri,n.,电池,My phone battery is almost empty.,我的手机电池快没电了。
battle,,n.,战争，战役,,
bay,,n.,湾,,
be,,v.,是；在,,
beach,,n.,海滩，湖滩，河滩,,
beam,,n.,梁；横梁；束，柱,,
bean,,n.,豆，蚕豆,,
bear,,n.,熊；粗鲁的人,,
beard,,n.,胡须，络腮胡子,,
bearing,,n.,举止， 风度； 方位， 方向感； 影响,,
beast,,n.,兽，野兽,,
beat,,v.,打，敲；打败,,
beautiful,,adj.,美的，美丽的,,
beauty,,n.,美，美丽；美人,,
because,,conj.,由于，因为,,
become,,v.,变得；变成；成为,,
bed,,n.,床，床位；圃；河床,,
bee,,n.,蜂，密蜂；忙碌的人,,
beef,,n.,牛肉；菜牛,,
beer,,n.,啤酒,,
before,,prep.,在…以前,,
beforehand,,adv.,预先；提前地,,
beg,,v.,乞求；请求,,
beggar,,n.,乞丐，穷人,,
begin,,v.,开始,,
beginner,,n.,初学者，生手,,
beginning,,n.,开始，开端；起源,,
behalf,,n.,代表某人,,
behave,,v.,表现,,
behavior,bɪ'heɪvjə,n.,行为；举止,His behavior at the party was polite.,他在聚会上的举止很有礼貌。
behavioral,,adj.,行为的,,
behind,,prep.,在…后面,,
being,,n.,存在；生物；生命,,
belief,,n.,信念；信任，相信,,
believe,,v.,相信；认为,,
bell,,n.,钟，铃，门铃；钟声,,
belly,,n.,肚子， 腹部,,
belong,,v.,属于,,
beloved,,adj.,为…所爱的 n. 爱人,,
below,,prep.,在…下面（以下）,,
belt,,n.,带，腰带；皮带；区,,
bench,,n.,长凳，条凳,,
bend,,v.,使弯曲；弯曲,,
beneath,,prep.,在…下方,,
beneficial,,adj.,有利的，有益的,,
beneficiary,,n.,"受惠者, 受益人",,
benefit,'benɪfɪt,n./v.,益处；使受益,Exercise benefits both body and mind.,锻炼对身心都有益。
berry,,n.,浆果（如草莓等）,,
beside,,prep.,在…旁边,,
besides,,,"adv,prep. 而且；除…之外",,
best,,adj.,最好的；最大的,,
bet,,v.,打赌 n. 打赌,,
betray,,v.,背叛；辜负；泄漏,,
better,,adj.,较好的 adv. 更好地,,
between,,prep.,在…中间,,
beverage,,n.,饮料,,
beyond,,prep.,在…的那边,,
bias,,n.,偏见,,
bible,,n.,基督教《圣经》,,
bicycle,,n.,自行车，脚踏车,,
bid,,n.,出价，投标 v. 出价，投标,,
big,,adj.,大的，巨大的,,
bike,,n.,自行车 v. 骑自行车,,
bill,,n.,账单；票据；招贴,,
billion,,num.,万亿（英）,,
bin,,n.,箱子，容器；二进制 v. 把…放入箱中,,
bind,,v.,捆绑；包扎；装订,,
biochemical,,adj.,生物化学的， 生化的,,
biochemistry,,n.,生物化学,,
biographer,,n.,传记作者,,
biographical,,adj.,"传记的,传记体的",,
biography,,n.,传记,,
biological,,adj.,生物的,,
biologist,,n.,生物学家,,
biology,,n.,生物学,,
biotechnology,,n.,生物工艺学,,
bird,,n.,鸟，禽,,
birth,,n.,分娩，出生；出身,,
birthday,,n.,生日；诞生的日期,,
biscuit,,n.,（英）饼干；（美）软饼,,
bit,,n.,一点，一些，小片,,
bite,,v.,咬；咬，叮，螫；剌穿,,
bitter,,adj.,痛苦的；严寒的,,
bitterly,,adv.,苦苦地；悲痛地,,
black,,adj.,黑色的；黑暗的,,
blackboard,,n.,黑板,,
blade,,n.,刀刃，刀片；叶片,,
blame,bleɪm,v./n.,责备；归咎于,Don't blame others for your mistakes.,不要把自己的错误归咎于别人。
blank,,adj.,空白的 n. 空白,,
blanket,,n.,毛毯，毯子，羊毛毯,,
blast,,n.,爆炸，冲击波 v. 炸,,
blaze,,n.,火；闪光 v. 燃烧,,
bleed,,v.,出血，流血,,
blend,,v.,混和 n. 混和物,,
bless,,v.,保佑，祝福,,
blind,,adj.,瞎的；盲目的,,
block,,v.,阻碍 n. 街区,,
blog,,n.,博客， 日志,,
blond,,n.,白肤金发碧眼的人,,
blood,,n.,血，血液；血统,,
bloody,,adv.,[用于加强语气]非常，很 adj. [用于加强语气]非常的；该死的；流血的；嗜杀的 vt. 血染,,
bloom,,n.,花；开花，开花期,,
blossom,,n.,花；开花 v. 开花,,
blouse,,n.,女衬衫,,
blow,,v.,吹；吹动；吹响,,
blue,,adj.,蓝色的 n. 蓝色,,
